Accession_Number_Old,Accession_Number,X,Genus,Species,Binomial,Host_Binomial,Year_Sample_Collected,Country_of_Collection,Type
MT362948,MT362948,,Phthiridium,spp,Phthiridium_spp,bat,2020,South_Korea,0
AB632570,AB632570,,Phthiridium,hindlei,Phthiridium_hindler,Rhinolophus_ferrumequinum,2011,Japan,0
MK140116,MK140116,,Phthiridium,spp,Phthiridium_spp,Rhinolophus_mehelyi,2018,Romania,0
MZ483872,MZ483872,,Phthiridium,spp,Phthiridium_spp,Myotis_spp,2020,China,0
AB632571,AB632571,,Brachytarsina,kanoi,Brachytarsina_kanoi,Miniopterus_fuscu,2011,Japan,0
MH282239,MH282239,MH282239,Trichobius,dugesioides,Trichobius_dugesioides,bat,2014,Panama,0
KF453436,KF453436,KF453436,Brachytarsina,alluaudi,Brachytarsina_allaudi,Hipposideros_gigas,2012,Gabon,0
MT362949,MT362949,,Brachytarsina,spp,Brachytarsina_spp,bat,2020,South_Korea,0
MW792204,MW792204,,Streblidae,spp,Streblidae_spp,Hipposideros_ruber,2017,Uganda,0
MW792205,MW792205,,Streblidae,spp,Streblidae_spp,Hipposideros_ruber,2017,Uganda,0
MZ382456,MZ382456,,Leptocyclopodia,ferrarii,Leptocyclopodia_ferrarii,Cynopterus_brachyotis,2021,Malaysia,0
KF021534,KF021534,,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_sororculus,2012,Madagascar,0
MK140180,MK140180,,Penicillidia,conspicua,Penicillidia_conspicua,Miniopterus_schreibersii,2018,Romania,0
KF021535,KF021535,,Penicillidia,oceania,Penicillidia_oceania,Miniopterus_schreibersi,2006,Philippines,0
KF021518,KF021518,,Penicillidia,fulvida,Penicillidia_fulvida,Miniopterus_gleni,2012,Madagascar,0
MK140183,MK140183,,Penicillidia,dufourii,Penicillidia_dufourii,Myotis_blythii,2018,Hungary,0
AB632567,AB632567,,Penicillidia,monoceros,Penicillidia_monoceros,Myotis_daubentonii,2011,Japan,0
MT362947,MT362947,,Penicillidia,spp,Penicillidia_spp,bat,2020,South_Korea,0
AB632538,AB632538,,Basilia,rybini,Basilia_rybini,Myotis_daubentonii,2011,Japan,0
AB632536,AB632536,,Basilia,truncata,Basilia_truncata,Myotis_mystacinus,2011,Japan,0
KF273779,KF273779,KF273779,Cyclopodia,horsfieldi,Cyclopodia_horsefieldi,Pteropus_hypomelanus,2004,Malaysia,0
KR997993,KR997993,,Eucampsipoda,spp,Eucampsipoda_spp,Rousettus_aegyptiacus,2016,South_Africa,0
MF462051,MF462051,,Penicillidia,leptothrinax,Penicillidia_leptothrinax,Miniopterus_manavi,2017,Madagascar,0
MH151061,MH151061,,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_aegyptiacus,2013,Nigeria,0
MH151064,MH151064,,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_aegyptiacus,2013,Nigeria,0
MK140181,MK140181,,Penicillidia,dufourii,Penicillidia_dufourii,Myotis_myotis,2018,Romania,0
MW590972,MW590972,,Penicillidia,monoceros,Penicillidia_monoceros,bird,2021,Finland,0
OM327588,OM327588,,Brachytarsina,kanoi,Brachytarsina_kanoi,,2022,Pakistan,0
OM327589,OM327589,,Brachytarsina,kanoi,Brachytarsina_kanoi,,2022,Pakistan,0
ON704664,ON704664,,Penicillidia,fulvida,Penicillidia_fulvida,Rhinolophus_fumigatus,2015,Kenya,0
ON704703,ON704703,,Penicillidia,fulvida,Penicillidia_fulvida,Triaenops_afer,2015,Kenya,0
ON704710,ON704710,,Penicillidia,fulvida,Penicillidia_fulvida,Miniopterus_spp,2015,Kenya,0
NC_001709,NC_001709,,Drosophila,melanogaster,Drosophila_melanogaster,NA,1999,USA,0
